,Year,Month,Actual Balance,Difference_l
199,2016,8,171562.0,-74.0
200,2016,9,170237.0,-72.0
201,2016,10,168906.0,-66.0
202,2016,11,167569.0,-63.0
203,2016,12,166225.0,-59.0
204,2017,1,164875.0,-54.0
205,2017,2,163533.0,-36.0
206,2017,3,162184.0,-31.0
207,2017,4,160828.0,-27.0
208,2017,5,159479.0,-10.0
209,2017,6,158124.0,-4.0
210,2017,7,156761.0,0.0
211,2017,8,155405.0,17.0
212,2017,9,154041.0,20.0
213,2017,10,152670.0,26.0
214,2017,11,151292.0,30.0
215,2017,12,149906.0,33.0
216,2018,1,148513.0,39.0
217,2018,2,147125.0,56.0
218,2018,3,145729.0,59.0
219,2018,4,144326.0,65.0
220,2018,5,142927.0,80.0
221,2018,6,141519.0,85.0
222,2018,7,140104.0,89.0
223,2018,8,138693.0,107.0
224,2018,9,137273.0,109.0
225,2018,10,135844.0,114.0
226,2018,11,134419.0,131.0
227,2018,12,132985.0,134.0
228,2019,1,131541.0,137.0
229,2019,2,130101.0,155.0
230,2019,3,128651.0,158.0
231,2019,4,127191.0,162.0
232,2019,5,125722.0,165.0
233,2019,6,124244.0,171.0
234,2019,7,122756.0,174.0
235,2019,8,121258.0,178.0
236,2019,9,119751.0,184.0
237,2019,10,118234.0,187.0
238,2019,11,116687.0,171.0
239,2019,12,115129.0,174.0
240,2020,1,113563.0,182.0
241,2020,2,0.0,-111802.0
